player_id,name,games_played,start_price,current_price,exact_price_r9,recent_s1,recent_s2,recent_s3,consistency,last_3_tog_avg,proj_score_fc,break_even_fc,proj_price_r10,be_r10,be_pct_r10,proj_score_r10,proj_price_r11,be_r11,be_pct_r11,proj_score_r11,proj_price_r12,be_r12,be_pct_r12,proj_score_r12,score_r8,score_r9,price_r7,price_r8,price_r9,delta_r9_to_r10,delta_r10_to_r11,delta_r11_to_r12,score_vs_be_r10,implied_ppp_r10
100017017,Tevita Naufahu,1,450000,410000,410000,1,,,1,15,25,57,375685,57,13,25,375579,57,13,25,348347,55,26,37,1,,450000,450000,410000,-34315,-106,-27232,-32,1072.34
100008673,Morgan Gannon,1,450000,409000,409000,-1,,,0,5,0,59,409000,59,1,0,409000,78,1,20,367851,75,1,20,,,409000,409000,409000,0,0,-41149,-59,-0.0
100007619,James Schiller,1,421000,402000,402000,19,,,8,80,27,41,389253,41,17,27,385964,42,18,29,373753,BYE,BYE,0,19,,421000,421000,402000,-12747,-3289,-12211,-14,910.5
100006239,Ashton Ward,1,400000,381000,381000,14,,,1,41,32,43,381000,43,29,32,369250,38,22,23,355368,41,19,24,,,381000,381000,381000,0,-11750,-13882,-11,-0.0
100015584,Eddie Ieremia-Toeava,1,350000,360000,360000,39,,,38,34,0,19,356724,19,4,0,360000,44,29,38,378685,33,46,34,,39,350000,350000,350000,-3276,3276,18685,-19,172.42
100011291,Hayden Buchanan,1,334000,334000,334000,13,,,35,80,23,37,334000,37,9,23,319064,37,9,23,307055,37,11,24,,,334000,334000,334000,0,-14936,-12009,-14,-0.0
100004168,Tony Sukkar,1,276000,299000,299000,45,,,1,60,30,6,267795,6,2,30,323426,5,3,28,341702,BYE,BYE,0,,45,276000,276000,276000,-31205,55631,18276,24,-1300.21
100011351,Joey Walsh,1,250000,273000,273000,43,,,0,80,27,4,251326,4,9,27,296504,4,9,27,315272,5,10,27,,43,250000,250000,250000,-21674,45178,18768,23,-942.35
100006630,Josh Feledy,1,269000,269000,269000,9,,,38,33,21,30,269000,30,7,21,258281,28,12,21,251985,26,20,21,,,269000,269000,269000,0,-10719,-6296,-9,-0.0
100020440,Apa Twidle,1,260000,260000,260000,47,,,0,26,0,-1,260000,-1,46,0,260000,21,7,36,298304,BYE,BYE,0,,,260000,260000,260000,0,0,38304,1,0.0
507057,Preston Riki,1,259000,259000,259000,30,,,37,33,22,13,267542,13,8,22,268479,13,8,22,275292,BYE,BYE,0,30,,,250000,259000,8542,937,6813,9,949.11
100010891,Josh Patston,1,250000,256000,256000,27,,,21,24,26,14,266613,14,10,26,267548,11,10,23,276995,11,8,24,,,250000,256000,256000,10613,935,9447,12,884.42
100006264,Luke Hanson,1,252000,252000,252000,39,,,0,80,0,5,252000,5,31,0,252000,25,21,33,281835,14,3,33,,,252000,252000,252000,0,0,29835,-5,-0.0
508341,Trent Toelau,1,250000,247000,247000,18,,,22,67,16,20,247146,20,26,16,241948,23,17,17,236274,24,17,18,,18,250000,250000,250000,146,-5198,-5674,-4,-36.5
507815,Hohepa Puru,1,250000,244000,244000,14,,,15,16,13,23,236028,23,9,13,232882,27,6,15,221901,BYE,BYE,0,,,244000,244000,244000,-7972,-3146,-10981,-10,797.2
100006861,Jaylan De Groot,1,250000,244000,244000,15,,,11,80,14,23,236994,23,18,14,234728,26,24,19,229043,24,16,14,,,250000,244000,244000,-7006,-2266,-5685,-9,778.44
100012039,Kaiden Lahrs,1,250000,243000,243000,14,,,26,17,11,23,243000,23,1,11,229937,29,1,14,216805,30,1,12,,,243000,243000,243000,0,-13063,-13132,-12,-0.0
505633,Luke Sommerton,1,250000,242000,242000,12,,,22,28,15,25,242000,25,21,15,231656,27,23,18,224456,25,23,16,,,242000,242000,242000,0,-10344,-7200,-10,-0.0
100009156,Blake Mozer,1,250000,238000,238000,10,,,2,10,0,25,238000,25,1,0,238000,39,2,17,228553,BYE,BYE,0,,,238000,238000,238000,0,0,-9447,-25,-0.0
100009202,Owen Pattie,1,250000,238000,238000,10,,,1,18,16,25,249173,25,15,16,227511,26,1,0,227511,38,1,15,,10,250000,250000,250000,11173,-21662,0,-9,-1241.44
100014185,Elijah Salesa-Leaumoana,1,250000,238000,238000,11,,,45,22,14,24,238000,24,2,14,226194,26,1,14,214256,BYE,BYE,0,11,,250000,250000,238000,0,-11806,-11938,-10,-0.0
100007297,Chevy Stewart,1,250000,237000,237000,9,,,1,17,19,26,252340,26,30,19,228941,24,3,0,228941,37,7,18,,9,250000,250000,250000,15340,-23399,0,-7,-2191.43
509404,Cody Ramsey,1,250000,235000,235000,7,,,0,54,18,27,255507,27,17,18,224505,25,23,18,217961,BYE,BYE,0,,7,250000,250000,250000,20507,-31002,-6544,-9,-2278.56
